name,scientific_name,sunlight,space,care_level,image_url,tagline,description,watering_frequency,pot_size,sunlight_needs,watering_guide,sunlight_guide,potting_tips,common_issues,plant_id
Mint,Mentha spicata,Medium Light (A few hours),Small Pot (Windowsill),Beginner (I forget to water),https://images.unsplash.com/photo-1594736797933-d0c29c8a0c8a?w=400&h=300&fit=crop,Fresh and fragrant - perfect for beginners!,Aromatic herb that grows quickly and is very forgiving,Every 2-3 days,Small to medium pot,4-6 hours of indirect light,Keep soil consistently moist but not waterlogged,Place near a bright window but avoid direct afternoon sun,Use well-draining soil and repot when roots show at bottom,Overwatering can cause root rot; underwatering causes wilting,mint
Basil,Ocimum basilicum,Bright Light (6+ hours),Small Pot (Windowsill),Intermediate (I can follow a schedule),https://images.unsplash.com/photo-1615485925334-744b5b3b6b0c?w=400&h=300&fit=crop,Kitchen superstar that loves the sun!,Popular culinary herb that needs consistent care,Every 1-2 days,Small pot,6+ hours of direct sunlight,Water when top inch of soil is dry,Needs bright direct sunlight for best flavor,Use rich potting soil and pinch flowers to encourage leaf growth,Can bolt in hot weather; watch for aphids,basil
Snake Plant,Sansevieria trifasciata,Low Light (No direct sun),Large Container (Balcony),Beginner (I forget to water),https://images.unsplash.com/photo-1593482892262-124d95ad4a0a?w=400&h=300&fit=crop,Hard to kill and great for your air!,Nearly indestructible plant that purifies air,Every 2-3 weeks,Medium to large pot,Tolerates low light but prefers bright indirect,Water only when soil is completely dry,Can survive in low light but grows faster with bright indirect light,Use well-draining soil; can go months without water,Overwatering is the main issue; very drought tolerant,snake_plant
Cherry Tomatoes,Solanum lycopersicum,Bright Light (6+ hours),Large Container (Balcony),Intermediate (I can follow a schedule),https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=400&h=300&fit=crop,Homegrown flavor in your own space!,Compact tomato variety perfect for containers,Every 1-2 days,Large pot or container,6+ hours of direct sunlight,Keep soil consistently moist,Needs full sun for best fruit production,Use large container with support; fertilize regularly,Watch for pests and diseases; needs consistent watering,cherry_tomatoes
Chilli,Capsicum annuum,Bright Light (6+ hours),Medium Container,Intermediate (I can follow a schedule),https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop,Spice up your life with homegrown heat!,Hot peppers that add flavor to any dish,Every 1-2 days,Medium pot,6+ hours of direct sunlight,Water when top inch of soil is dry,Needs full sun for best fruit production,Use well-draining soil; support heavy fruit with stakes,Can be sensitive to overwatering; watch for aphids,chilli
Marigold,Tagetes patula,Bright Light (6+ hours),Small Pot (Windowsill),Beginner (I forget to water),https://images.unsplash.com/photo-1594736797933-d0c29c8a0c8a?w=400&h=300&fit=crop,Bright and cheerful - nature's mood booster!,Colorful flowers that bloom all season,Every 2-3 days,Small to medium pot,6+ hours of direct sunlight,Water when soil feels dry to touch,Thrives in full sun; flowers close at night,Deadhead regularly to encourage more blooms,Generally pest-free; can get powdery mildew in humid conditions,marigold
Spider Plant,Chlorophytum comosum,Medium Light (A few hours),Hanging Basket,Beginner (I forget to water),https://images.unsplash.com/photo-1593482892262-124d95ad4a0a?w=400&h=300&fit=crop,Easy-going and makes baby plants!,Produces plantlets that you can propagate,Every 1-2 weeks,Small to medium pot,4-6 hours of indirect light,Water when soil is dry,Prefers bright indirect light but tolerates low light,Perfect for hanging baskets; easy to propagate,Very forgiving; brown tips indicate over-fertilization,spider_plant
Peace Lily,Spathiphyllum wallisii,Low Light (No direct sun),Medium Container,Intermediate (I can follow a schedule),https://images.unsplash.com/photo-1593482892262-124d95ad4a0a?w=400&h=300&fit=crop,Elegant beauty that tells you when it's thirsty!,Beautiful flowering plant that's easy to care for,Every 3-5 days,Medium pot,Low to medium indirect light,Water when soil is dry; plant will droop when thirsty,Prefers low to medium light; avoid direct sun,Keep soil moist but not soggy; high humidity preferred,Leaves turn brown if overwatered; yellow leaves indicate underwatering,peace_lily
Lavender,Lavandula angustifolia,Bright Light (6+ hours),Medium Container,Intermediate (I can follow a schedule),https://images.unsplash.com/photo-1594736797933-d0c29c8a0c8a?w=400&h=300&fit=crop,Fragrant and calming - nature's aromatherapy!,Aromatic herb with beautiful purple flowers,Every 3-4 days,Medium pot,6+ hours of direct sunlight,Water when soil is dry; prefers drier conditions,Needs full sun and good air circulation,Use well-draining soil; trim after flowering,Can get root rot if overwatered; needs good drainage,lavender
Aloe Vera,Aloe barbadensis,Medium Light (A few hours),Small Pot (Windowsill),Beginner (I forget to water),https://images.unsplash.com/photo-1593482892262-124d95ad4a0a?w=400&h=300&fit=crop,Healing plant that's almost impossible to kill!,Succulent with medicinal properties,Every 2-3 weeks,Small to medium pot,4-6 hours of indirect light,Water deeply but infrequently,Prefers bright indirect light; can tolerate some direct sun,Use cactus soil; let soil dry completely between waterings,Very drought tolerant; overwatering causes root rot,aloe_vera
